URN	ImageURN	Volume	Sheet	VersionName	Family	Michaux Name	Modern Name	Location	Annotations	Field 2	Type	Linnaean Class	Linneaen Genus	Linnaean Order	Flora
urn:cite2:botcar:michaux.2017a:01_01	urn:cite2:fufolio:botcar.2017a:Michaux8836	01	01	michx-Vol01-1-21-04-55-55	Plantaginaceae	Hippuris vulgaris	Hippuris vulgaris	habitat in fossis ad Malbaye in Canada				Monandria	Hippuris	Monogynia	1
urn:cite2:botcar:michaux.2017a:01_02	urn:cite2:fufolio:botcar.2017a:Michaux8839	01	02	michx-Vol01-2-21-04-56-56	Amaranthaceae	Salicornia herbacea	Salicornia sp.	Bas du fl. St. Laurent Canada				Monandria	Salicornia	Monogynia	1
urn:cite2:botcar:michaux.2017a:01_03	urn:cite2:fufolio:botcar.2017a:Michaux8841	01	03	michx-Vol01-3-21-04-57-23	Amaranthaceae	Salicornia ambigua	Sarcocornia perennis	hab. in scirpetis maritimus a Carolina ad floridam			Holotype	Monandria	Salicornia	Monogynia	
urn:cite2:botcar:michaux.2017a:01_03a	urn:cite2:fufolio:botcar.2017a:Michaux8842	01	03a	michx-Vol01-3a-21-04-57-52											
urn:cite2:botcar:michaux.2017a:01_03b	urn:cite2:fufolio:botcar.2017a:Michaux8843	01	03b	michx-Vol01-3b-21-04-58-06											
urn:cite2:botcar:michaux.2017a:01_04	urn:cite2:fufolio:botcar.2017a:Michaux8845	01	04	michx-Vol01-4-21-04-58-38	Cannaceae	Canna?	Canna flaccida								
urn:cite2:botcar:michaux.2017a:01_05	urn:cite2:fufolio:botcar.2017a:Michaux8847	01	05	michx-Vol01-5-21-05-00-19	Cannaceae	Blitum capitatum	Chenopodium capitatum var. capitatum	Hab in requietis, incultis Canadae				Monandria	Blitum	Digynia	2
urn:cite2:botcar:michaux.2017a:01_06	urn:cite2:fufolio:botcar.2017a:Michaux8849	01	06	michx-Vol01-6-21-05-00-59	Callitrichaceae	Callitriche verna	Callitriche heterophylla	H in America Septentrionale ubiq a Canada ad Carolinum				Monandria	Callitriche	Digynia	2
urn:cite2:botcar:michaux.2017a:01_07	urn:cite2:fufolio:botcar.2017a:Michaux8850	01	07	michx-Vol01-7-21-05-01-30	Callitrichaceae	Callitriche autumnalis	Callitriche hermaphroditica	hab. ad ripam meridional Lacus Champlain				Monandria	Callitriche	Digynia	
urn:cite2:botcar:michaux.2017a:01_07a	urn:cite2:fufolio:botcar.2017a:Michaux9060	01	07a	michx-Vol01-7a-21-05-57-58											
urn:cite2:botcar:michaux.2017a:01_07b	urn:cite2:fufolio:botcar.2017a:Michaux5308	01	07b	michx-Vol01-7b-21-06-00-37											
urn:cite2:botcar:michaux.2017a:01_07c	urn:cite2:fufolio:botcar.2017a:Michaux5309	01	07c	michx-Vol01-7c-21-06-00-41											
