specimenURN,name,scientificName,familyURN,genusURN,speciesURN,commonName,folioURN,folioImageROI,tsnID,folioImage
urn:cite:botcar:sloane.133,"Catesby Specimen 133: Spermacoce?",Spermacoce?,urn:cite:botcar:family.Rubiaceae,urn:cite:botcar:genus.Spermacoce,,,urn:cite:fufolio:CatesbyHS232.100,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_100_0555
urn:cite:botcar:sloane.360,"Catesby Specimen 360: Spermacoce?",Spermacoce?,urn:cite:botcar:family.Rubiaceae,urn:cite:botcar:genus.Spermacoce,,,urn:cite:fufolio:CatesbyHS232.121,"urn:cite:fufolioimg:Caroliniana.Catesby_HS232_121_0535@0.555,0.168,0.26,0.667",,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_121_0535
urn:cite:botcar:sloane.149,"Catesby Specimen 149: Some leaf from Bahamas",Some leaf from Bahamas,,,,,urn:cite:fufolio:CatesbyHS232.028,"urn:cite:fufolioimg:Caroliniana.Catesby_HS232_028_0631@0.676,0.53,0.208,0.183",,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_028_0631
urn:cite:botcar:sloane.245,"Catesby Specimen 245: _Metopium toxiferum_",_Metopium toxiferum_,urn:cite:botcar:family.Anacardiaceae,urn:cite:botcar:genus.Metopium,urn:cite:botcar:species.Metopiumtoxiferum,,urn:cite:fufolio:CatesbyHS232.058,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_058_0600
urn:cite:botcar:sloane.274,"Catesby Specimen 274: Phleum arenarium?",Phleum arenarium?,urn:cite:botcar:family.Gramineae,urn:cite:botcar:genus.Phleum,urn:cite:botcar:species.Phleumarenarium,,urn:cite:fufolio:CatesbyHS232.061,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_061_0596
urn:cite:botcar:sloane.293,"Catesby Specimen 293: Moss",Moss,,urn:cite:botcar:genus.Moss,,,urn:cite:fufolio:CatesbyHS212.064,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_064_0442
urn:cite:botcar:sloane.3,"Catesby Specimen 3: Moss",Moss,,urn:cite:botcar:genus.Moss,,,urn:cite:fufolio:CatesbyHS212.064,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_064_0442
urn:cite:botcar:sloane.37,"Catesby Specimen 37: Dyschoriste oblongifolia (Michx.) Kuntze",Dyschoriste oblongifolia (Michx.) Kuntze,urn:cite:botcar:family.Acanthaceae,urn:cite:botcar:genus.Dyschoriste,urn:cite:botcar:species.Dyschoristeoblongifolia,Blue Twinflower,urn:cite:fufolio:CatesbyHS232.129,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_129_0528
urn:cite:botcar:sloane.19,"Catesby Specimen 19: Liquidambar styraciflua L.",Liquidambar styraciflua L.,urn:cite:botcar:family.Altingiaceae,urn:cite:botcar:genus.Liquidambar,urn:cite:botcar:species.Liquidambarstyraciflua,sweetgum,urn:cite:fufolio:CatesbyHS232.034,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_034_0634
urn:cite:botcar:sloane.243,"Catesby Specimen 243: Liquidambar styraciflua L.",Liquidambar styraciflua L.,urn:cite:botcar:family.Altingiaceae,urn:cite:botcar:genus.Liquidambar,urn:cite:botcar:species.Liquidambarstyraciflua,sweetgum,urn:cite:fufolio:CatesbyHS212.079,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_079_0432
urn:cite:botcar:sloane.246,"Catesby Specimen 246: Allium cuthbertii Small",Allium cuthbertii Small,urn:cite:botcar:family.Amaryllidaceae,urn:cite:botcar:genus.Allium,urn:cite:botcar:species.Alliumcuthbertii,Cuthbert's onion,urn:cite:fufolio:CatesbyHS212.036,"urn:cite:fufolioimg:Caroliniana.Catesby_HS212_036_0475@0.759,0.11,0.208,0.805",,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_036_0475
urn:cite:botcar:sloane.386,"Catesby Specimen 386: Narcissus?",Narcissus?,urn:cite:botcar:family.Amaryllidaceae,urn:cite:botcar:genus.Narcissus,,,urn:cite:fufolio:CatesbyHS232.061,"urn:cite:fufolioimg:Caroliniana.Catesby_HS232_061_0596@0.719,0.144,0.161,0.156",,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_061_0596
urn:cite:botcar:sloane.96,"Catesby Specimen 96: Toxicodendron radicans (L.) Kuntze",Toxicodendron radicans (L.) Kuntze,urn:cite:botcar:family.Anacardiaceae,urn:cite:botcar:genus.Toxicodendron,urn:cite:botcar:species.Toxicodendronradicans,poison ivy,urn:cite:fufolio:CatesbyHS212.019,"urn:cite:fufolioimg:Caroliniana.Catesby_HS212_019_0491@0.326,0.0962,0.625,0.669",,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_019_0491
urn:cite:botcar:sloane.41,"Catesby Specimen 41: Toxicodendron vernix (L.) Kuntze",Toxicodendron vernix (L.) Kuntze,urn:cite:botcar:family.Anacardiaceae,urn:cite:botcar:genus.Toxicodendron,urn:cite:botcar:species.Toxicodendronvernix,poison sumac,urn:cite:fufolio:CatesbyHS212.025,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_025_0488
urn:cite:botcar:sloane.337,"Catesby Specimen 337: Ptilimnium capillaceum (Michaux) Rafinesque",Ptilimnium capillaceum (Michaux) Rafinesque,urn:cite:botcar:family.Apiaceae,urn:cite:botcar:genus.Ptilimnium,urn:cite:botcar:species.Ptilimniumcapillaceum,eastern bishopweed,urn:cite:fufolio:CatesbyHS232.116,,,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_116_0539
